lcl|Macaca_fascicularis_SRA_ERR015947.163781_6_375_1_101   1
lcl|Macaca_fascicularis_SRA_ERR015915.324192_28_271_-1_54   11
lcl|Macaca_fascicularis_SRA_ERR015925.184773_9_236_1_53   26
lcl|Macaca_fascicularis_SRA_ERR015917.130526_5_239_1_61   6
lcl|Macaca_fascicularis_SRA_ERR015938.373001_10_256_-1_82   6
lcl|Macaca_fascicularis_SRA_ERR015885.79066_9_264_1_84   6
lcl|Macaca_fascicularis_SRA_ERR015890.264040_47_271_-1_62   1
lcl|Macaca_fascicularis_SRA_ERR015901.74832_8_247_1_45   3
lcl|Macaca_fascicularis_SRA_ERR015901.31843_19_244_1_59   11
lcl|Macaca_fascicularis_SRA_ERR015909.350495_7_223_-1_33   11
lcl|Macaca_fascicularis_SRA_ERR015947.89012_17_434_-1_77   6
lcl|Macaca_fascicularis_SRA_ERR015912.352209_35_262_-1_39   5
lcl|Macaca_fascicularis_SRA_ERR015893.109530_12_247_-1_60   6
lcl|Macaca_fascicularis_SRA_ERR015913.233182_5_231_1_61   1
lcl|Macaca_fascicularis_SRA_ERR015884.93681_3_269_1_76   11
lcl|Macaca_fascicularis_SRA_ERR015925.166472_26_267_-1_47   11
lcl|Macaca_fascicularis_SRA_ERR015945.718859_5_455_1_133   8
lcl|Macaca_fascicularis_SRA_ERR015933.12006_3_242_1_69   2
lcl|Macaca_fascicularis_SRA_ERR015900.69533_13_265_1_84   11
lcl|Macaca_fascicularis_SRA_ERR015943.574963_12_376_-1_199   11
lcl|Macaca_fascicularis_SRA_ERR015945.672836_5_503_-1_87   6
lcl|Macaca_fascicularis_SRA_ERR015923.373671_35_261_-1_62   18
lcl|Macaca_fascicularis_SRA_ERR015938.409684_30_255_-1_33   11
lcl|Macaca_fascicularis_SRA_ERR015934.99709_7_254_1_53   21
lcl|Macaca_fascicularis_SRA_ERR015939.469456_6_188_1_20   11
lcl|Macaca_fascicularis_SRA_ERR015919.276041_5_261_1_83   11
lcl|Macaca_fascicularis_SRA_ERR015886.266578_7_233_1_60   2
lcl|Macaca_fascicularis_SRA_ERR015944.404414_5_411_1_49   68
lcl|Macaca_fascicularis_SRA_ERR015927.264345_9_253_1_82   2
lcl|Macaca_fascicularis_SRA_ERR015945.89981_76_408_1_137   64
lcl|Macaca_fascicularis_SRA_ERR015946.916362_5_426_1_73   5
lcl|Macaca_fascicularis_SRA_ERR015947.633497_69_350_-1_105   6
lcl|Macaca_fascicularis_SRA_ERR015942.691253_77_505_1_232   11
lcl|Macaca_fascicularis_SRA_ERR015947.325422_15_462_1_106   11
lcl|Macaca_fascicularis_SRA_ERR015891.120797_3_236_1_70   5
lcl|Macaca_fascicularis_SRA_ERR015945.8370_10_459_-1_93   61
lcl|Macaca_fascicularis_SRA_ERR015946.668202_63_345_-1_95   21
lcl|Macaca_fascicularis_SRA_ERR015903.80012_1_251_-1_86   5
lcl|Macaca_fascicularis_SRA_ERR015941.242879_49_384_1_145   5
lcl|Macaca_fascicularis_SRA_ERR015910.300686_16_256_-1_66   104
lcl|Macaca_fascicularis_SRA_ERR015902.139075_53_272_-1_32   11
lcl|Macaca_fascicularis_SRA_ERR015892.6214_7_228_1_60   5
lcl|Macaca_fascicularis_SRA_ERR015947.1054582_190_483_-1_101   15
lcl|Macaca_fascicularis_SRA_ERR015911.288198_5_234_1_54   6
lcl|Macaca_fascicularis_SRA_ERR015946.352148_5_399_-1_105   30
lcl|Macaca_fascicularis_SRA_ERR015943.352973_14_354_1_82   2
lcl|Macaca_fascicularis_SRA_ERR015917.395843_5_270_1_81   32
lcl|Macaca_fascicularis_SRA_ERR015932.420571_15_225_1_19   5
lcl|Macaca_fascicularis_SRA_ERR015945.95544_1_410_-1_87   11
lcl|Macaca_fascicularis_SRA_ERR015896.44737_27_254_-1_62   2
lcl|Macaca_fascicularis_SRA_ERR015942.984307_36_448_-1_219   11
lcl|Macaca_fascicularis_SRA_ERR015918.244518_8_260_1_61   21
lcl|Macaca_fascicularis_SRA_ERR015946.1213516_6_285_1_100   8
lcl|Macaca_fascicularis_SRA_ERR015945.564166_51_350_-1_114   12
lcl|Macaca_fascicularis_SRA_ERR015895.343471_5_239_1_57   11
lcl|Macaca_fascicularis_SRA_ERR015947.105386_30_381_1_79   6
lcl|Macaca_fascicularis_SRA_ERR015931.23339_7_277_-1_79   32
lcl|Macaca_fascicularis_SRA_ERR015934.88593_41_268_-1_62   1
lcl|Macaca_fascicularis_SRA_ERR015932.183475_4_241_1_47   5
lcl|Macaca_fascicularis_SRA_ERR015941.975147_7_431_1_147   64
lcl|Macaca_fascicularis_SRA_ERR015922.221144_7_221_1_32   21
